Date,Saturday Night Live
2023-11-04,4972
2023-11-05,6890
2023-11-06,5259
2023-11-07,4577
2023-11-08,4530
2023-11-09,4320
2023-11-10,4361
2023-11-11,4603
2023-11-12,11323
2023-11-13,7504
2023-11-14,5446
2023-11-15,4929
2023-11-16,4725
2023-11-17,4781
2023-11-18,5233
2023-11-19,9414
2023-11-20,6568
2023-11-21,4955
2023-11-22,4783
2023-11-23,5908
2023-11-24,5167
2023-11-25,5430
2023-11-26,6596
2023-11-27,4957
2023-11-28,4483
2023-11-29,4899
2023-11-30,4614
2023-12-01,4383
2023-12-02,5045
2023-12-03,11664
2023-12-04,7451
2023-12-05,5336
2023-12-06,4884
2023-12-07,4833
2023-12-08,4616
2023-12-09,4922
2023-12-10,11018
2023-12-11,8114
2023-12-12,6213
2023-12-13,5145
2023-12-14,4702
2023-12-15,6050
2023-12-16,5480
2023-12-17,13838
2023-12-18,9299
2023-12-19,6863
2023-12-20,5637
2023-12-21,4968
2023-12-22,4850
2023-12-23,5085
2023-12-24,7831
2023-12-25,5409
2023-12-26,5040
2023-12-27,4993
2023-12-28,4913
2023-12-29,4474
2023-12-30,4718
2023-12-31,5775
2024-01-01,4944
2024-01-02,4766
2024-01-03,4771
2024-01-04,4601
2024-01-05,4658
2024-01-06,5012
2024-01-07,6720
2024-01-08,5143
2024-01-09,4831
2024-01-10,4629
2024-01-11,4736
2024-01-12,4632
2024-01-13,5252
2024-01-14,7207
2024-01-15,5168
2024-01-16,5553
2024-01-17,5777
2024-01-18,5011
2024-01-19,5638
2024-01-20,6034
2024-01-21,12965
2024-01-22,7825
2024-01-23,5936
2024-01-24,5511
2024-01-25,5336
2024-01-26,5176
2024-01-27,5612
2024-01-28,12746
2024-01-29,8376
2024-01-30,6875
2024-01-31,7369
2024-02-01,6038
2024-02-02,5515
2024-02-03,6029
2024-02-04,15459
2024-02-05,9335
2024-02-06,7220
2024-02-07,5632
2024-02-08,5142
2024-02-09,4877
2024-02-10,6015
2024-02-11,8246
2024-02-12,5114
2024-02-13,4499
2024-02-14,4067
2024-02-15,4185
2024-02-16,4290
2024-02-17,4918
2024-02-18,7342
2024-02-19,5413
2024-02-20,4931
2024-02-21,4733
2024-02-22,4540
2024-02-23,4953
2024-02-24,5156
2024-02-25,13259
2024-02-26,8384
2024-02-27,5897
2024-02-28,5739
2024-02-29,5074
2024-03-01,4691
2024-03-02,4893
2024-03-03,11710
2024-03-04,8402
2024-03-05,6359
2024-03-06,5019
2024-03-07,5109
2024-03-08,5592
2024-03-09,5933
2024-03-10,14640
2024-03-11,8482
2024-03-12,6294
2024-03-13,5966
2024-03-14,5466
2024-03-15,4951
2024-03-16,5275
2024-03-17,7705
2024-03-18,4982
2024-03-19,4394
2024-03-20,4127
2024-03-21,4192
2024-03-22,4171
2024-03-23,4747
2024-03-24,7067
2024-03-25,4837
2024-03-26,4359
2024-03-27,4347
2024-03-28,4862
2024-03-29,4685
2024-03-30,4827
2024-03-31,9032
2024-04-01,6532
2024-04-02,5442
2024-04-03,5239
2024-04-04,4776
2024-04-05,4538
2024-04-06,4973
2024-04-07,12028
2024-04-08,7118
2024-04-09,5316
2024-04-10,4991
2024-04-11,4977
2024-04-12,5320
2024-04-13,5713
2024-04-14,14817
2024-04-15,11274
2024-04-16,8590
2024-04-17,7830
2024-04-18,6641
2024-04-19,6997
2024-04-20,6104
2024-04-21,8310
2024-04-22,5645
2024-04-23,4657
2024-04-24,4545
2024-04-25,4470
2024-04-26,4119
2024-04-27,4588
2024-04-28,7080
2024-04-29,4723
2024-04-30,4148
2024-05-01,4575
2024-05-02,4858
2024-05-03,5256
2024-05-04,4841
2024-05-05,9815
2024-05-06,5833
2024-05-07,4650
2024-05-08,4228
2024-05-09,4134
2024-05-10,4094
2024-05-11,4230
2024-05-12,9530
2024-05-13,6307
2024-05-14,4961
2024-05-15,4568
2024-05-16,4067
2024-05-17,4141
2024-05-18,4360
2024-05-19,12096
2024-05-20,6926
2024-05-21,5644
2024-05-22,4498
2024-05-23,4237
2024-05-24,4058
2024-05-25,4374
2024-05-26,5205
2024-05-27,4770
2024-05-28,4100
2024-05-29,3721
2024-05-30,3653
